ACTRESS NAME,DOB
Beverly Aadland,None
Mariann Aalda,1948-05-07
Caroline Aaron,1957-08-07
Diahnne Abbott,1945-01-01
Rose Abdoo,1962-11-28
Paula Abdul,1962-06-19
Donzaleigh Abernathy,1957-08-05
Whitney Able,1982-06-02
Candice Accola,1987-05-13
Amy Acker,1976-12-05
Jean Acker,None
Bettye Ackerman,None
Amy Adams,1974-08-20
Brooke Adams,1949-02-08
Edie Adams,None
Jane Adams,1965-04-01
Joey Lauren Adams,1968-01-09
Julie Adams,None
Lillian Adams,None
Mary Kay Adams,1962-09-12
Nancy Addison,None
Shohreh Aghdashloo,1952-05-11
Dianna Agron,1986-04-30
Christina Aguilera,1980-12-18
Lexi Ainsworth,1992-10-28
Malin Åkerman,1978-05-12
Jessica Alba,1981-04-28
Lola Albright,None
Denise Alexander,1939-11-11
Erika Alexander,1969-11-19
Jaimie Alexander,1984-03-12
Jane Alexander,1939-10-28
Khandi Alexander,1957-09-04
Sasha Alexander,1973-05-17
Kristian Alfonso,1963-09-05
Tatyana Ali,1979-01-24
Mary Alice,1943-12-03
Ana Alicia,1956-12-12
Christa B. Allen,1991-11-01
Debbie Allen,1950-01-16
Elizabeth Allen,None
Joan Allen,1956-08-20
Jonelle Allen,1944-07-18
Karen Allen,1951-10-05
Krista Allen,1972-04-05
Laura Allen,1974-03-21
Nancy Allen,1950-06-24
Rosalind Allen,1957-09-23
Kirstie Alley,1951-01-12
Jamie Anne Allman,1977-04-06
June Allyson,None
Daniella Alonso,1978-09-22
María Conchita Alonso,1957-06-29
Trini Alvarado,1967-01-10
Lauren Ambrose,1978-02-20
Mädchen Amick,1970-12-12
Suzy Amis,1962-01-05
Eva Amurri,1985-03-15
Kristina Anapau,1979-10-30
Andrea Anders,1975-05-10
Gillian Anderson,1968-08-09
Loni Anderson,1946-08-05
Mary Anderson,None
Melody Anderson,1955-12-03
Nicole Gale Anderson,1990-08-29
Jennifer Aniston,1969-02-11
Odette Annable,1985-05-10
Susan Anton,1950-10-12
Shiri Appleby,1978-12-07
Christina Applegate,1971-11-25
Anne Archer,1947-08-24
Beverly Archer,1948-07-19
Leila Arcieri,1973-12-18
Eve Arden,None
Ashley Argota,1993-01-09
Jillian Armenante,1968-07-05
Bess Armstrong,1953-12-11
Samaire Armstrong,1980-10-31
Alexis Arquette,None
Patricia Arquette,1968-04-08
Rosanna Arquette,1959-08-10
Bea Arthur,None
Jean Arthur,None
Katie Aselton,1978-10-01
Ashanti,1980-10-13
Elizabeth Ashley,1939-08-30
Mary Astor,None
Margaret Avery,1944-01-20
Awkwafina,1988-06-02
Nicki Aycox,1975-05-26
Rochelle Aytes,1976-05-17
Candice Azzara,1945-05-18
Lauren Bacall,None
Barbara Bach,1947-08-27
Catherine Bach,1954-03-01
Mary Badham,1952-10-07
Jane Badler,1953-12-31
Erykah Badu,1971-02-26
Katherine Bailess,1980-04-24
Laura Bailey,None
Pearl Bailey,None
Barbara Bain,1931-09-13
Fay Bainter,None
Diora Baird,1983-04-06
Blanche Baker,1956-12-20
Carroll Baker,1931-05-28
Diane Baker,1938-02-25
Kathy Baker,1950-06-08
Leigh-Allyn Baker,1972-03-13
Brenda Bakke,1963-05-15
Fairuza Balk,1974-05-21
Lucille Ball,None
Kaye Ballard,None
Talia Balsam,1959-03-05
Anne Bancroft,None
Tallulah Bankhead,None
Elizabeth Banks,1974-02-10
Tyra Banks,1973-12-04
Christine Baranski,1952-05-02
Adrienne Barbeau,1945-06-11
Ellen Barkin,1954-04-16
Joanna Barnes,1934-11-15
Priscilla Barnes,1955-12-07
Majel Barrett,None
Barbara Barrie,1931-05-23
Dana Barron,1966-04-22
Drew Barrymore,1975-02-22
Ethel Barrymore,None
Roseanne Barr,1952-11-03
Bonnie Bartlett,1929-06-20
Mischa Barton,1986-01-24
Ella Jay Basco,2006-09-17
Kim Basinger,1953-12-08
Angela Bassett,1958-08-16
Justine Bateman,1966-02-19
Florence Bates,None
Kathy Bates,1948-06-28
Cyia Batten,1972-01-26
Frances Bavier,None
Anne Baxter,None
Meredith Baxter,1947-06-21
Jennifer Beals,1963-12-19
Amanda Bearse,1958-08-09
Madisen Beaty,1995-02-28
Louise Beavers,None
Kimberly Beck,1956-01-09
Bonnie Bedelia,1948-03-25
Nicole Beharie,1985-01-03
Beth Behrs,1985-12-26
Doris Belack,None
Ashley Bell,1986-05-26
Catherine Bell,1968-08-14
Jillian Bell,1984-04-25
Kristen Bell,1980-07-18
Lake Bell,1979-03-24
Camilla Belle,1986-10-02
Kathleen Beller,1956-02-19
Troian Bellisario,1985-10-28
Maria Bello,1967-04-18
Bea Benaderet,None
Andrea Bendewald,1970-03-04
Annette Bening,1958-05-29
Constance Bennett,None
Haley Bennett,1988-01-07
Joan Bennett,None
Melissa Benoist,1988-10-04
Amber Benson,1977-01-08
Ashley Benson,1989-12-18
Jodi Benson,1961-10-10
Julie Benz,1972-05-01
Candice Bergen,1946-05-09
Polly Bergen,None
Elizabeth Berkley,1972-07-28
Jeannie Berlin,1949-11-01
Crystal Bernard,1961-09-30
Sandra Bernhard,1955-06-06
Halle Berry,1966-08-14
Valerie Bertinelli,1960-04-23
Angela Bettis,1973-01-09
Troy Beyer,1964-11-07
Mayim Bialik,1975-12-12
Leslie Bibb,1974-11-17
Jessica Biel,1982-03-03
Barbara Billingsley,None
Rachel Bilson,1981-08-25
Traci Bingham,1968-01-13
Thora Birch,1982-03-11
Kerry Bishé,1984-05-01
Summer Bishil,1988-07-17
Julie Bishop,None
Danielle Bisutti,1976-10-01
Karen Black,None
Sofia Black-D'Elia,1991-12-23
Joan Blackman,1938-05-17
Betsy Blair,None
Linda Blair,1959-01-22
Patricia Blair,None
Selma Blair,1972-06-23
Amanda Blake,None
Susan Blakely,1948-09-07
Ronee Blakley,1945-08-24
Jolene Blalock,1975-03-05
Rowan Blanchard,2001-10-14
Tammy Blanchard,1976-12-14
Sally Blane,None
Alexis Bledel,1981-09-16
Yasmine Bleeth,1968-06-14
Mary J. Blige,1971-01-11
Joan Blondell,None
Nikki Blonsky,1988-11-09
Moon Bloodgood,1975-09-20
Lindsay Bloom,1950-08-28
Verna Bloom,None
Emily Blunt,1983-02-23
Ann Blyth,1928-08-16
Eleanor Boardman,None
Mary Boland,None
Melissa Bolona,1989-12-28
Beulah Bondi,None
Lisa Bonet,1967-11-16
Shirley Booth,None
Olive Borden,None
Alex Borstein,1973-02-15
Michelle Borth,1978-08-19
Samantha Boscarino,1994-12-26
Rachel Boston,1982-05-09
Kate Bosworth,1983-01-02
Barbara Bouchet,1944-08-15
Julie Bovasso,None
Clara Bow,None
Katrina Bowden,1988-09-19
Lilan Bowden,1985-09-01
Andrea Bowen,1990-03-04
Julie Bowen,1970-03-03
Jessica Bowman,1980-11-26
Jenna Boyd,1993-03-04
Anise Boyer,None
Lara Flynn Boyle,1970-03-24
Lucy Boynton,1994-01-17
Lorraine Bracco,1954-10-02
Alice Brady,None
Alexandra Breckenridge,1982-05-15
Tracey E. Bregman,1963-05-29
Lucille Bremer,None
Eileen Brennan,None
Amy Brenneman,1964-06-22
Abigail Breslin,1996-04-14
Jordana Brewster,1980-04-26
Paget Brewster,1969-03-10
Chloe Bridges,1991-12-27
Alison Brie,1982-12-29
Connie Britton,1967-03-06
Beth Broderick,1959-02-24
Jayne Brook,1960-09-16
Geraldine Brooks,None
Louise Brooks,None
Blair Brown,1946-04-23
Chelsea Brown,None
Kimberlin Brown,1961-06-29
Kimberly J. Brown,1984-11-16
Olivia Brown,1960-04-10
Pat Crawford Brown,None
Vanessa Brown,None
Yvette Nicole Brown,1971-08-12
Leslie Browne,1957-06-29
Logan Browning,1989-06-09
Sabrina Bryan,1984-09-16
Joy Bryant,1974-10-18
Nana Bryant,1974-10-18
Tara Buck,1975-03-16
Kira Buckland,1987-07-16
Betty Buckley,1947-07-03
Sandra Bullock,1964-07-26
Cara Buono,1974-03-01
Candace Cameron Bure,1976-04-06
Billie Burke,None
Delta Burke,1956-07-30
Marylouise Burke,1941-01-20
Carol Burnett,1933-04-26
Brooke Burns,1978-03-16
Catherine Burns,1945-09-24
Heather Burns,1975-04-07
Ellen Burstyn,1932-12-07
Hilarie Burton,1982-07-01
Kate Burton,1957-09-10
Sophia Bush,1982-07-08
Brett Butler,1958-01-30
Yancy Butler,1970-07-02
Spring Byington,None
Amanda Bynes,1986-04-03
Marion Byron,None
Jeanne Cagney,None
Erin Cahill,1980-01-04
L. Scott Caldwell,1950-04-17
Alice Calhoun,None
Sarah Wayne Callies,1977-06-01
Vanessa Bell Calloway,1957-03-20
Anna Camp,1982-09-27
Colleen Camp,1953-06-07
Christa Campbell,1972-12-07
Danielle Campbell,1995-01-30
Maia Campbell,1976-11-26
Tisha Campbell,1968-10-13
Maria Canals-Barrera,1966-09-28
Dyan Cannon,1937-01-04
Lizzy Caplan,1982-06-30
Jessica Capshaw,1976-08-09
Kate Capshaw,1953-11-03
Irene Cara,1959-03-18
Gina Carano,1982-04-16
Linda Cardellini,1975-06-25
Clare Carey,1967-06-11
Mariah Carey,1970-03-27
Lynn Carlin,1938-01-31
Kitty Carlisle,None
Amy Carlson,1968-07-07
Kelly Carlson,1976-02-17
Jeanne Carmen,None
Julie Carmen,1954-04-04
Sue Carol,None
Charisma Carpenter,1970-07-23
Jennifer Carpenter,1979-12-07
Sabrina Carpenter,1999-05-11
Ever Carradine,1974-08-06
Barbara Carrera,1945-12-31
Tia Carrere,1967-01-02
Diahann Carroll,None
Madeline Carroll,1996-03-18
Nancy Carroll,None
Pat Carroll,1927-05-27
Dixie Carter,None
Lynda Carter,1951-07-24
Gabrielle Carteris,1961-01-02
Angela Cartwright,1952-09-09
Veronica Cartwright,1949-04-20
Rosalind Cash,None
Peggy Cass,None
Joanna Cassidy,1945-08-02
Katie Cassidy,1986-11-25
Peggie Castle,None
Shanley Caswell,1991-12-03
Phoebe Cates,1963-07-16
Kim Cattrall,1956-08-21
Jessica Cauffiel,1976-03-30
Emma Caulfield,1973-04-08
Joan Caulfield,None
Kristin Cavallari,1987-01-05
Lacey Chabert,1982-09-30
Faune Chambers,1976-09-23
Carol Channing,None
Stockard Channing,1944-02-13
Cyd Charisse,None
Annette Charles,None
Daveigh Chase,1990-07-24
Jessica Chastain,1977-03-24
Ruth Chatterton,None
Molly Cheek,1950-03-02
Kristin Chenoweth,1968-07-24
Cher,1946-05-20
Vanessa Lee Chester,1984-07-02
Lois Chiles,1947-04-15
Anna Chlumsky,1980-12-03
Margaret Cho,1968-12-05
Rosalind Chao,1958-09-23
Erika Christensen,1982-08-19
Claudia Christian,1965-08-10
Jamie Chung,1983-04-10
Marguerite Churchill,None
Ciara,1985-10-25
Candy Clark,1947-06-20
Judy Clark,None
Melinda Clarke,1969-04-24
Sarah Clarke,1972-02-16
Patricia Clarkson,1959-12-29
Jill Clayburgh,None
Kiersey Clemons,1993-12-17
Colleen Clinkenbeard,1980-04-13
Rosemary Clooney,None
Glenn Close,1947-03-19
Imogene Coca,None
Lauren Cohan,1982-01-07
Mindy Cohn,1966-05-20
Claudette Colbert,None
Taylor Cole,1984-04-29
Tina Cole,1943-08-04
Holliston Coleman,1992-06-30
Monique Coleman,1980-11-13
Kim Coles,1962-01-11
Patricia Collinge,None
Lily Collins,1989-03-18
Lynn Collins,1977-05-16
Holly Marie Combs,1973-12-03
Anjanette Comer,1939-08-07
Dorothy Comingore,None
Betty Compson,None
Michaela Conlin,1978-06-09
Jennifer Connelly,1970-12-12
Kristen Connolly,1980-07-12
Carole Cook,1924-01-14
Rachael Leigh Cook,1979-10-04
Jennifer Coolidge,1961-08-28
Ellen Corby,None
Mara Corday,1930-01-03
Maddie Corman,1970-08-15
Carrie Coon,1981-01-24
Miranda Cosgrove,1993-05-14
Stephanie Courtney,1970-02-08
Jane Cowl,None
Courteney Cox,1964-06-15
Laverne Cox,1972-05-29
Nikki Cox,1978-06-02
Yvonne Craig,None
Jeanne Crain,None
Barbara Crampton,1958-12-27
Norma Crane,None
Joan Crawford,None
Cathy Lee Crosby,1944-12-02
Denise Crosby,1957-11-24
Mary Crosby,1959-09-14
Marcia Cross,1962-03-25
Lindsay Crouse,1948-05-12
Gia Crovatin,1985-11-30
Suzanne Cryer,1967-01-13
Constance Cummings,None
Erin Cummings,1977-07-19
Quinn Cummings,1967-08-13
Kaley Cuoco,1985-11-30
Jane Curtin,1947-09-06
Jamie Lee Curtis,1958-11-22
Ann Cusack,1961-05-22
Joan Cusack,1962-10-11
Tawny Cypress,1976-08-08
Miley Cyrus,1992-11-23
Caroline D'Amore,1984-06-09
Beverly D'Angelo,1951-11-15
Patti D'Arbanville,1951-05-25
Donna D'Errico,1968-03-30
Shae D'lyn,1963-11-24
Yaya DaCosta,1982-11-15
Alexandra Daddario,1986-03-16
Arlene Dahl,1925-08-11
Irene Dailey,None
E. G. Daily,1961-09-11
Nadia Dajani,1965-10-26
Abby Dalton,None
Tyne Daly,1946-02-21
Dorothy Dandridge,None
Claire Danes,1979-04-12
Shera Danese,1949-10-09
Brittany Daniel,1976-03-17
Bebe Daniels,None
Erin Daniels,1973-10-09
Sarah E. Daniels,1989-08-01
Blythe Danner,1943-02-03
Linda Darnell,None
Lisa Darr,1963-04-21
Jane Darwell,None
Stacey Dash,1967-01-20
Alexa Davalos,1982-05-28
Amy Davidson,1979-09-15
Ann B. Davis,None
Bette Davis,None
Dana Davis,1978-10-04
Geena Davis,1956-01-21
Hope Davis,1964-03-23
Josie Davis,1973-01-16
Kristin Davis,1965-02-23
Phyllis Davis,None
Viola Davis,1965-08-11
Embeth Davidtz,1965-08-11
Pam Dawber,1951-10-18
Rosario Dawson,1979-05-09
Roxann Dawson,1958-09-11
Doris Day,None
Felicia Day,1979-06-28
Marceline Day,None
Priscilla Dean,None
Yvonne De Carlo,None
Brooklyn Decker,1987-04-12
Frances Dee,None
Ruby Dee,None
Sandra Dee,None
Kaylee DeFer,1986-09-23
Ellen DeGeneres,1958-01-26
Gloria DeHaven,None
Olivia de Havilland,None
Nicole DeHuff,None
Wanda De Jesus,1958-08-26
Paz de la Huerta,1984-09-03
Allie DeBerry,1994-10-26
Kate del Castillo,1972-10-23
Kim Delaney,1961-11-29
Diane Delano,1957-01-29
Dana Delany,1956-03-13
Idalis DeLeón,1966-06-15
Grey DeLisle,1973-08-24
Julie Delpy,1969-12-21
Drea de Matteo,1972-01-19
Rebecca De Mornay,1959-08-29
Carol Dempster,None
Lori Beth Denberg,1976-02-02
Kat Dennings,1986-06-13
Sandy Dennis,None
Bo Derek,1956-11-20
Laura Dern,1967-02-10
Portia de Rossi,1973-01-31
Donna D'Errico,1968-03-30
Melissa De Sousa,1967-09-25
Emily Deschanel,1976-10-11
Mary Jo Deschanel,1945-11-25
Zooey Deschanel,1980-01-17
Amanda Detmer,1971-09-27
Madelyn Deutch,1991-03-23
Zoey Deutch,1994-11-10
Patti Deutsch,None
Kaitlyn Dever,1996-12-21
Loretta Devine,1949-08-21
Torrey DeVitto,1984-06-08
Jenna Dewan,1980-12-03
Joyce DeWitt,1949-04-23
Rosemarie DeWitt,1971-10-26
Noureen DeWulf,1984-02-28
Susan Dey,1952-12-10
Alyssa Diaz,1985-09-07
Cameron Diaz,1972-08-30
Melonie Diaz,1984-04-25
Kim Dickens,1965-06-18
Angie Dickinson,1931-09-30
Marlene Dietrich,None
Victoria Dillard,1969-09-20
Phyllis Diller,None
Melinda Dillon,1939-10-13
Mia Dillon,1955-07-09
Donna Dixon,1957-07-20
Maria Dizzia,1974-12-29
Ellen Drew,None
Megan Dodds,1970-02-15
Shannen Doherty,1971-04-12
Ami Dolenz,1969-01-08
Dagmara Dominczyk,1976-07-17
Elinor Donahue,1937-04-19
Jocelin Donahue,1981-11-08
Elisa Donovan,1971-02-03
Kaitlin Doubleday,1984-07-19
Portia Doubleday,1988-06-22
Donna Douglas,None
Illeana Douglas,1965-07-25
Fiona Dourif,1981-10-30
Billie Dove,None
Ann Dowd,1956-01-30
Doris Dowling,None
Denise Dowse,1958-02-21
Polly Draper,1955-06-15
Rachel Dratch,1966-02-22
Fran Drescher,1957-09-30
Louise Dresser,None
Marie Dressler,None
Minnie Driver,1970-01-31
Joanne Dru,None
Alice Drummond,None
Ja'Net DuBois,None
Heather Dubrow,1969-01-06
Anne Dudek,1975-03-22
Haylie Duff,1985-02-19
Hilary Duff,1987-09-28
Julia Duffy,1951-06-27
Karen Duffy,1962-05-23
Olympia Dukakis,None
Patty Duke,None
Faye Dunaway,1941-01-14
Jennifer Dundas,1971-01-14
Dominique Dunne,None
Irene Dunne,None
Mildred Dunnock,None
Kirsten Dunst,1982-04-30
Tiffany Dupont,1981-03-22
Eliza Dushku,1980-12-30
Clea DuVall,1977-09-25
Shelley Duvall,1949-07-07
Ann Dvorak,None
Natalia Dyer,1995-01-13
Alexis Dziena,1984-07-08
Jeanne Eagels,None
Bobbie Eakes,1961-07-25
Leslie Easterbrook,1949-07-29
Alison Eastwood,1972-05-22
Mary Eaton,None
Christine Ebersole,1953-02-21
Sonya Eddy,1967-06-17
Lisa Edelstein,1966-05-21
Barbara Eden,1931-08-23
Melissa Claire Egan,1981-09-28
Nicole Eggert,1972-01-13
Jennifer Ehle,1969-12-29
Lisa Eilbacher,1956-05-05
Jill Eikenberry,1947-01-21
Hallie Eisenberg,1992-08-02
Carmen Electra,1972-04-20
Erika Eleniak,1969-09-29
Jenna Elfman,1971-09-30
Kimberly Elise,1967-04-17
Shannon Elizabeth,1973-09-07
Vera-Ellen,None
Jane Elliot,1947-01-17
Patricia Elliott,None
Aunjanue Ellis,1969-02-21
Georgia Engel,None
Molly Ephraim,1986-05-22
Shareeka Epps,1989-07-11
Kathryn Erbe,1965-07-05
Jennifer Esposito,1973-04-11
Susie Essman,1955-05-31
Scarlett Estevez,2007-12-04
Estelle Evans,None
Judi Evans,1964-07-12
Linda Evans,1942-11-18
Madge Evans,None
Mary Beth Evans,1961-03-07
Eve,1978-11-10
Angie Everhart,1969-09-07
Bridget Everett,1972-04-21
Wynn Everett,1978-10-26
Briana Evigan,1986-10-23
Kayla Ewell,1985-08-27
Shelley Fabares,1944-01-19
Nanette Fabray,None
Morgan Fairchild,1950-02-03
Lola Falana,1942-09-11
Edie Falco,1963-07-05
Siobhan Fallon,1961-05-13
Dakota Fanning,1994-02-23
Elle Fanning,1998-04-09
Anna Faris,1976-11-29
Frances Farmer,None
Vera Farmiga,1973-08-06
Glenda Farrell,None
Sharon Farrell,1940-12-24
Terry Farrell,1963-11-19
Mia Farrow,1945-02-09
Farrah Fawcett,None
Alice Faye,None
Barbara Feldon,1933-03-12
Tovah Feldshuh,1952-12-27
Beanie Feldstein,1993-06-24
Sherilyn Fenn,1965-02-01
Vanessa Ferlito,1980-12-28
Conchata Ferrell,None
America Ferrera,1984-04-18
Peggy Feury,None
Tina Fey,1970-05-18
Sally Field,1946-11-06
Chip Fields,1961-08-05
Holly Fields,1976-10-11
Jere Fields,1959-07-02
Kim Fields,1969-05-12
Hala Finley,2009-05-18
Ashley Fink,1986-11-20
Linda Fiorentino,1958-03-09
Danielle Fishel,1981-05-05
Jenna Fischer,1974-03-07
Takayo Fischer,1932-11-25
Danielle Fishel,1981-05-05
Carrie Fisher,None
Frances Fisher,1952-05-11
Joely Fisher,1967-10-29
Schuyler Fisk,1982-07-08
Fannie Flagg,1944-09-21
Jennifer Flavin,1968-08-14
Jaqueline Fleming,1977-09-10
Rhonda Fleming,None
Louise Fletcher,1934-07-22
Calista Flockhart,1964-11-11
Ann Flood,1934-11-12
Nina Foch,None
Megan Follows,1968-03-14
Bridget Fonda,1964-01-27
Jane Fonda,1937-12-21
Lyndsy Fonseca,1987-01-07
Joan Fontaine,None
Anitra Ford,1942-09-03
Constance Ford,None
Courtney Ford,1978-06-27
Faith Ford,1964-09-14
Maria Ford,None
Deborah Foreman,1962-10-12
Sally Forrest,None
Jodie Foster,1962-11-19
Kimberly Foster,1961-07-06
Meg Foster,1948-05-10
Sara Foster,1981-02-05
Sutton Foster,1975-03-18
Jorja Fox,1968-07-07
Megan Fox,1986-05-16
Vivica A. Fox,1964-07-30
Anne Francis,None
Kay Francis,None
Bonnie Franklin,None
Diane Franklin,1962-02-11
Kathleen Freeman,None
Mona Freeman,None
Kate French,1984-09-23
Lindsay Frost,1962-06-04
Soleil Moon Frye,1976-08-06
Isabelle Fuhrman,1997-02-25
Emma Fuhrmann,2001-09-15
Annette Funicello,None
Eva Gabor,None
Zsa Zsa Gabor,None
Jacqueline Gadsden,None
Lady Gaga,1986-03-28
Rita Gam,None
Aimee Garcia,1978-11-28
Virginia Gardner,1995-04-18
Ava Gardner,None
Beverly Garland,None
Judy Garland,None
Jennifer Garner,1972-04-17
Julia Garner,1994-02-01
Kelli Garner,1984-04-11
Peggy Ann Garner,None
Janeane Garofalo,1964-09-28
Teri Garr,1947-12-11
Betty Garrett,None
Greer Garson,None
Jennie Garth,1972-04-03
Ana Gasteyer,1967-05-04
Janina Gavankar,1980-11-29
Erica Gavin,1947-07-22
Rebecca Gayheart,1971-08-12
Sami Gayle,1996-01-22
Janet Gaynor,None
Mitzi Gaynor,1931-09-04
Barbara Bel Geddes,None
Sarah Michelle Gellar,1977-04-14
Gladys George,None
Lynda Day George,1944-12-11
Melissa George,1976-08-06
Lauren German,1978-11-29
Gina Gershon,1962-06-10
Jami Gertz,1965-10-28
Greta Gerwig,1983-08-04
Estelle Getty,None
Cynthia Gibb,1963-12-14
Debbie Gibson,1970-08-31
Kelli Giddish,1980-04-13
Melissa Gilbert,1964-05-08
Sara Gilbert,1975-01-29
Sandra Giles,None
Elizabeth Gillies,1993-07-26
Ann Gillis,None
Alexie Gilmore,1976-01-01
Peri Gilpin,1961-05-27
Annabeth Gish,1971-03-13
Dorothy Gish,None
Lillian Gish,None
Robin Givens,1964-11-27
Summer Glau,1981-07-24
Lola Glaudini,1971-11-24
Carlin Glynn,1940-02-19
Paulette Goddard,None
Angela Goethals,1977-05-20
