ACTRESS NAME,DOB
Tracey Gold,1969-05-16
Whoopi Goldberg,1955-11-13
Gage Golightly,1993-09-05
Minna Gombell,None
Selena Gomez,1992-07-22
Meagan Good,1981-08-08
Ginnifer Goodwin,1978-05-22
Lecy Goranson,1974-06-22
Ruth Gordon,None
YaYa Gosselin,2009-01-26
Alice Ghostley,None
Betty Grable,None
Maggie Grace,1983-09-21
Heather Graham,1970-01-29
Katerina Graham,1989-09-05
Lauren Graham,1967-03-16
Gloria Grahame,None
Greer Grammer,1992-02-15
Ariana Grande,1993-06-26
Beth Grant,1949-09-18
Brea Grant,1981-10-16
Lee Grant,1926-10-31
Bonita Granville,None
Karen Grassle,1942-02-25
Erin Gray,1950-01-07
Linda Gray,1940-09-12
Ari Graynor,1983-04-27
Kathryn Grayson,None
Alice Greczyn,1986-02-06
Kerri Green,1967-01-14
Ashley Greene,1987-02-21
Judy Greer,1975-07-20
Kim Greist,1958-05-12
Jennifer Grey,1960-03-26
Virginia Grey,None
Pam Grier,1949-05-26
Corinne Griffith,None
Melanie Griffith,1957-08-09
Tracy Griffith,1965-10-19
Leslie Grossman,1971-10-25
Fiona Gubelmann,1980-03-30
Carla Gugino,1971-08-29
Ann Morgan Guilbert,None
Grace Gummer,1986-05-09
Mamie Gummer,1983-08-03
Anna Gunn,1968-08-11
Danai Gurira,1978-02-14
Jasmine Guy,1962-03-10
Maggie Gyllenhaal,1977-11-16
Olivia Hack,1983-06-16
Shelley Hack,1947-07-06
Joan Hackett,None
Martha Hackett,1961-02-21
Tiffany Haddish,1979-12-03
Julie Anne Haddock,1965-04-03
Sara Haden,None
Marianne Hagan,1966-12-08
Molly Hagan,1961-08-03
Jean Hagen,None
Uta Hagen,None
Julie Hagerty,1955-06-15
Meredith Hagner,1987-05-31
Kathryn Hahn,1973-07-23
Nikki Hahn,2002-11-13
Stacy Haiduk,1968-04-28
Leisha Hailey,1971-07-11
Barbara Hale,None
Jennifer Hale,1972-01-01
Lucy Hale,1989-06-14
Alaina Reed Hall,None
Grayson Hall,None
Irma P. Hall,1935-06-03
Rebecca Hall,1982-05-03
Regina Hall,1970-12-12
Florence Halop,None
Daria Halprin,1948-12-30
Courtney Halverson,1989-06-14
Veronica Hamel,1943-11-20
Kim Hamilton,None
Linda Hamilton,1956-09-26
LisaGay Hamilton,1964-03-25
Lois Hamilton,None
Margaret Hamilton,None
Melinda Page Hamilton,1974-08-22
Barbara Hancock,1949-11-21
Chelsea Handler,1975-02-25
Daryl Hannah,1960-12-03
Anne Haney,None
Alyson Hannigan,1974-03-24
Sammi Hanratty,1995-09-20
Marcia Gay Harden,1959-08-14
Melora Hardin,1967-06-29
Ann Harding,None
Mariska Hargitay,1964-01-23
Jean Harlow,None
Angie Harmon,1972-08-10
Joy Harmon,1940-05-01
Marie Harmon,None
Elisabeth Harnois,1979-05-26
Jessica Harper,1949-10-10
Tanisha Harper,1985-09-18
Tess Harper,1950-08-15
Valerie Harper,None
Laura Harring,None
Barbara Harris,1935-07-25
Danielle Harris,1977-06-01
Danneel Harris,1979-03-18
Harriet Sansom Harris,1955-01-08
Julie Harris,None
Mel Harris,1956-07-12
Rachael Harris,1968-01-12
Jenilee Harrison,1958-06-12
Linda Harrison,1945-07-26
Kathryn Harrold,1950-08-02
Deborah Harry,1945-07-01
Margo Harshman,1986-03-04
Dolores Hart,1938-10-20
Melissa Joan Hart,1976-04-18
Mariette Hartley,1940-06-21
Elizabeth Hartman,None
Lisa Hartman Black,1956-06-01
Teri Hatcher,1964-12-08
Anne Hathaway,1982-11-12
Marcia Haufrecht,1937-01-03
Aaliyah Haughton,None
Wanda Hawley,None
Kali Hawk,1986-10-04
Goldie Hawn,1945-11-21
Salma Hayek,1966-09-02
Allison Hayes,None
Helen Hayes,None
Susan Hayward,None
Rita Hayworth,None
Glenne Headly,None
Shari Headley,1964-07-15
Amber Heard,1986-04-22
Patricia Heaton,1958-03-04
Anne Heche,1969-05-25
Jessica Hecht,1965-06-28
Eileen Heckart,None
Tippi Hedren,1930-01-19
Katherine Heigl,1978-11-24
Jayne Heitmeyer,1960-10-30
Marg Helgenberger,1958-11-16
Katherine Helmond,None
Mariel Hemingway,1961-11-22
Zulay Henao,1979-05-29
Florence Henderson,None
Lauri Hendler,1965-04-22
Christina Hendricks,1975-05-03
Elaine Hendrix,1970-12-28
Marilu Henner,1952-04-06
Shelley Hennig,1987-01-02
Linda Kaye Henning,1944-09-16
Pamela Hensley,1950-10-03
Taraji P. Henson,1970-09-11
Natasha Henstridge,1974-08-15
Audrey Hepburn,None
Katharine Hepburn,None
Rebecca Herbst,1977-05-12
Barbara Hershey,1948-02-05
Lori Heuring,1973-04-06
Jennifer Love Hewitt,1979-02-21
Catherine Hicks,1951-08-06
Brianna Hildebrand,1996-08-14
Marianna Hill,1942-02-09
Paris Hilton,1981-02-17
Nichole Hiltz,1978-09-03
Cheryl Hines,1965-09-21
Connie Hines,None
Marin Hinkle,1966-03-23
Ashley Hinshaw,1988-12-11
Judith Hoag,1969-06-28
Mitzi Hoag,None
Gaby Hoffmann,1982-01-08
Brooke Hogan,1988-05-05
Alexandra Holden,1977-04-30
Laurie Holden,1969-12-17
Willa Holland,1991-06-18
Judy Holliday,None
Polly Holliday,1937-07-02
Laurel Holloman,1968-05-23
Lauren Holly,1963-10-28
Celeste Holm,None
Katie Holmes,1978-12-18
Darla Hood,None
Charlene Holt,None
Miriam Hopkins,None
Hedda Hopper,None
Cody Horn,1988-06-12
Lena Horne,None
Julianne Hough,1988-07-20
Whitney Houston,None
Bryce Dallas Howard,1981-03-02
Traylor Howard,1966-06-14
Beth Howland,None
Kelly Hu,1968-02-13
Season Hubley,1951-03-14
Vanessa Hudgens,1988-12-14
Jennifer Hudson,1981-09-12
Haley Hudson,1986-06-14
Kate Hudson,1979-04-19
Rochelle Hudson,None
Felicity Huffman,1962-12-09
Sharon Hugueny,None
Josephine Hull,None
Gayle Hunnicutt,1943-02-06
Bonnie Hunt,1961-09-22
Helen Hunt,1963-06-15
Linda Hunt,1945-04-02
Holly Hunter,1958-03-20
Kaki Hunter,1955-11-06
Kim Hunter,None
Mary Beth Hurt,1946-09-26
Ruth Hussey,None
Anjelica Huston,1951-07-08
Gunilla Hutton,1944-05-14
Lauren Hutton,1943-11-17
Martha Hyer,None
Sarah Hyland,1990-11-24
Joyce Hyser,1957-12-20
Laura Innes,1957-08-16
Kathy Ireland,1963-03-20
Marin Ireland,1979-08-30
Amy Irving,1953-09-10
Judith Ivey,1951-09-04
Janet Jackson,1966-05-16
Kate Jackson,1948-10-29
Shar Jackson,1976-08-31
Sherry Jackson,1942-02-15
Skai Jackson,2002-04-08
Victoria Jackson,1959-08-02
Allison Janney,1959-11-19
Anne Jeffreys,None
Claudia Jennings,None
Scarlett Johansson,1984-11-22
Amy Jo Johnson,1970-10-06
Anne-Marie Johnson,1960-07-18
Ashley Johnson,1983-08-09
Dakota Johnson,1989-10-04
Rita Johnson,None
Kristen Johnston,1967-09-20
Lynn-Holly Johnson,1958-12-13
Sandy Johnson,1954-07-07
JoJo,1990-12-20
Angelina Jolie,1975-06-04
Anissa Jones,None
Carolyn Jones,None
Cherry Jones,1956-11-21
Janet Jones,1961-01-10
January Jones,1978-01-05
Jasmine Cephas Jones,1989-07-21
Jennifer Jones,None
Jill Marie Jones,1975-01-04
Marcia Mae Jones,None
Rashida Jones,1976-02-25
Renée Jones,1958-10-15
Shirley Jones,1934-03-31
Tamala Jones,1974-11-12
Dorothy Jordan,None
Jackie Joseph,1934-11-07
Milla Jovovich,1975-12-17
Elaine Joyce,1945-12-19
Ella Joyce,1954-06-12
Ashley Judd,1968-04-19
Victoria Justice,1993-02-19
Jane Kaczmarek,1955-12-21
Madeline Kahn,None
Bianca Kajlich,1977-03-26
Mindy Kaling,1979-06-24
Elena Kampouris,1997-09-16
Melina Kanakaredes,1967-04-23
Carol Kane,1952-06-18
Chelsea Kane,1988-09-15
Mitzi Kapture,1962-05-02
Julie Kavner,1950-09-07
Lainie Kazan,1940-05-15
Jane Kean,None
Staci Keanan,1975-06-06
Diane Keaton,1946-01-05
Arielle Kebbel,1985-02-19
Monica Keena,1979-05-28
Catherine Keener,1959-03-23
Sally Kellerman,1937-06-02
Sheila Kelley,1961-10-09
Catherine Kellner,1970-10-02
Grace Kelly,None
Jean Louisa Kelly,1972-03-09
Lisa Robin Kelly,None
Minka Kelly,1980-06-24
Moira Kelly,1968-03-06
Nancy Kelly,None
Patsy Kelly,None
Paula Kelly,None
Anna Kendrick,1985-08-09
Barbara Kent,None
Riley Keough,1989-05-29
Joanna Kerns,1953-02-12
Sandra Kerns,1949-07-20
Alicia Keys,1981-01-25
Margot Kidder,None
Nicole Kidman,1967-06-20
Laura Kightlinger,1964-06-13
Adrienne King,1955-07-21
Jaime King,1979-04-23
Kent King,1974-08-05
Joey King,1999-07-30
Regina King,1971-01-15
Phyllis Kirk,None
Lola Kirke,1990-09-27
Sally Kirkland,1941-10-31
Tawny Kitaen,None
Eartha Kitt,None
Hayley Kiyoko,1991-04-03
Alexis Knapp,1989-07-31
Karen Kopins,1961-10-10
Gladys Knight,1944-05-28
Shirley Knight,None
Keisha Knight-Pulliam,1979-04-09
Beyoncé Knowles,1981-09-04
Solange Knowles,1975-06-24
Susan Kohner,1936-11-11
Karen Kopins,1961-10-10
Nancy Kovack,1935-03-11
Linda Kozlowski,1958-01-07
Jane Krakowski,1968-10-11
Clare Kramer,1974-09-03
Louisa Krause,1986-05-20
Zoë Kravitz,1988-12-01
Lisa Kudrow,1963-07-30
Mila Kunis,1983-08-14
Swoosie Kurtz,1944-09-06
Nancy Kwan,1939-05-19
Eva LaRue,1966-12-27
Vanessa Lachey,1980-11-09
Cheryl Ladd,1951-07-12
Diane Ladd,1935-11-29
Christine Lahti,1950-04-04
Sanoe Lake,1982-05-19
Ricki Lake,1968-09-21
Veronica Lake,None
Christine Lakin,1979-01-25
Hedy Lamarr,None
Dorothy Lamour,None
Sarah Lancaster,1980-02-12
Juliet Landau,1965-03-30
Ricki Noel Lander,None
Audrey Landers,1956-07-18
Judy Landers,1958-10-07
Carole Landis,None
June Lang,None
Diane Lane,1965-01-22
Priscilla Lane,None
Sasha Lane,1995-09-29
Hope Lange,None
Jessica Lange,1949-04-20
Heather Langenkamp,1964-07-17
A. J. Langer,1974-05-22
Brooke Langton,1970-11-27
Angela Lansbury,1925-10-16
Joi Lansing,None
Liza Lapira,1981-12-03
Brie Larson,1989-10-01
Ali Larter,1976-02-28
Louise Lasser,1939-04-11
Louise Latham,None
Sanaa Lathan,1971-09-19
Queen Latifah,1970-03-18
Ashley Laurence,1966-05-28
Oona Laurence,2002-08-01
Piper Laurie,1932-01-22
Linda Lavin,1937-10-15
Barbara Lawrence,None
Jennifer Lawrence,1990-08-15
Vicki Lawrence,1949-03-26
Bianca Lawson,1979-03-20
Jayme Lawson,1997-09-19
Maggie Lawson,1980-08-12
Nicole Leach,1979-05-10
Cloris Leachman,None
Sharon Leal,1972-10-17
Michael Learned,1939-04-09
Kelly Le Brock,1960-03-24
Gwen Lee,None
Michele Lee,1942-06-24
Peggy Lee,None
Robinne Lee,1974-07-16
Sheryl Lee,1967-04-22
Cassandra Lee Morris,1982-04-19
Andrea Leeds,None
Erica Leerhsen,1976-02-14
Hudson Leick,1969-05-09
Cherami Leigh,None
Chyler Leigh,1982-04-10
Janet Leigh,None
Katie Leigh,1958-12-16
Jennifer Jason Leigh,1962-02-05
Bethany Joy Lenz,1981-04-02
Kay Lenz,1953-03-04
Melissa Leo,1960-09-14
Téa Leoni,1966-02-25
Joan Leslie,None
Margarita Levieva,1980-02-09
Jenifer Lewis,1957-01-25
Juliette Lewis,1973-06-21
Vicki Lewis,1960-03-17
Liana Liberato,1995-08-20
Jennifer Lien,1974-08-24
Judith Light,1949-02-09
Morgan Lily,2000-04-11
Sophia Lillis,2002-02-13
Abbey Lincoln,None
Riki Lindhome,1979-03-05
Margaret Lindsay,None
Bai Ling,1966-10-10
Laura Linney,1964-02-05
Peggy Lipton,None
Peyton List,1986-08-08
Peyton List,1998-04-06
Zoe Lister-Jones,1982-09-01
Lucy Liu,1968-12-02
Blake Lively,1987-08-25
Sabrina Lloyd,1970-11-20
Amy Locane,1971-12-19
Sondra Locke,None
Tammy Locke,1959-09-19
Tembi Locke,1970-07-26
Anne Lockhart,1953-09-06
June Lockhart,1925-06-25
Heather Locklear,1961-09-25
Lindsay Lohan,1986-07-02
Alison Lohman,1979-09-18
Kristanna Loken,1979-10-08
Carole Lombard,None
Karina Lombard,1969-01-21
Julie London,None
Lauren London,1984-12-05
Nia Long,1970-10-30
Shelley Long,1949-08-23
Eva Longoria,1975-03-15
Jennifer Lopez,1969-07-24
Traci Lords,1968-05-07
Josie Loren,1987-03-19
Joan Lorring,None
Caity Lotz,1986-12-30
Lori Loughlin,1964-07-28
Julia Louis-Dreyfus,1961-01-13
Anita Louise,None
Tina Louise,1934-02-11
Billie Lourd,1992-07-17
Bessie Love,None
Courtney Love,1964-07-09
Carey Lowell,1961-02-11
Myrna Loy,None
Olivia Luccardi,1989-05-17
Shannon Lucio,1980-06-25
Lorna Luft,1952-11-21
Jamie Luner,1971-05-12
Ida Lupino,None
Patti LuPone,1949-04-21
Masiela Lusha,1985-10-23
Dorothy Lyman,1947-04-18
Jane Lynch,1960-07-14
Kelly Lynch,1959-01-31
Carol Lynley,None
Meredith Scott Lynn,1970-03-08
Sue Lyon,None
Natasha Lyonne,1979-04-04
Jes Macallan,1982-08-09
June MacCloy,None
Andie MacDowell,1958-04-21
Ali MacGraw,1939-04-01
Justina Machado,1972-09-06
Allison Mack,None
Dorothy Mackaill,None
Joyce MacKenzie,None
Shirley MacLaine,1934-04-24
Aline MacMahon,None
Meredith MacRae,None
Amy Madigan,1950-09-11
Bailee Madison,1999-10-15
Madonna,1958-08-16
Virginia Madsen,1961-09-11
Marjorie Main,None
Tina Majorino,1985-02-07
Wendy Makkena,1958-10-04
Wendie Malick,1950-12-13
Dorothy Malone,None
Jena Malone,1984-11-21
Camryn Manheim,1961-03-08
Leslie Mann,1972-03-26
Taryn Manning,1978-11-06
Dinah Manoff,1958-01-25
Jayne Mansfield,None
Gia Mantegna,1990-04-17
Linda Manz,1961-08-20
Adele Mara,None
Kate Mara,1983-02-27
Rooney Mara,1985-04-17
Laura Marano,1995-11-29
Vanessa Marano,1992-10-31
Jamie Marchi,1977-10-08
Vanessa Marcil,1968-10-15
Janet Margolin,None
Ann-Margret,1941-04-28
Julianna Margulies,1966-06-08
Constance Marie,1965-09-09
Rose Marie,None
Jodie Markell,1959-04-13
Meghan Markle,1981-08-04
Brit Marling,1982-08-07
Paula Marshall,1964-06-12
Penny Marshall,None
Andrea Martin,1947-01-15
Kellie Martin,1975-10-16
Mary Martin,None
Meaghan Jette Martin,1992-02-17
Pamela Sue Martin,1953-01-05
Margo Martindale,1951-07-18
Natalie Martinez,1984-07-12
Marsha Mason,1942-04-03
Chase Masterson,1963-02-26
Mary Stuart Masterson,1966-06-28
Mary Elizabeth Mastrantonio,1958-11-17
Samantha Mathis,1970-05-12
Marlee Matlin,1965-08-24
Marilyn Maxwell,None
Elaine May,1932-04-21
Virginia Mayo,None
Melanie Mayron,1952-10-20
Jayma Mays,1979-07-16
Tristan Mays,1990-06-10
Debi Mazar,1964-08-13
Heather Mazur,1976-06-17
Monet Mazur,1976-04-17
May McAvoy,None
Diane McBain,1941-05-18
Mitzi McCall,1932-09-09
Irish McCalla,None
Mercedes McCambridge,None
Christine Elise McCarthy,1965-02-12
Jenny McCarthy,1972-11-01
Melissa McCarthy,1970-08-26
Cady McClain,1969-10-13
China Anne McClain,1998-08-25
Sierra McClain,1994-03-16
Rue McClanahan,None
Edie McClurg,1951-07-23
AnnaLynne McCord,1987-07-16
Mary McCormack,1969-02-08
Patty McCormack,1945-08-21
Maureen McCormick,1956-08-05
Sierra McCormick,1997-10-28
LisaRaye McCoy,1967-09-23
Kimberly McCullough,1978-03-05
Jennette McCurdy,1992-06-26
Hattie McDaniel,None
Heather McDonald,1970-06-14
Mary McDonnell,1952-04-28
Frances McDormand,1957-06-23
Reba McEntire,1955-03-28
Gates McFadden,1949-03-02
Vonetta McGee,None
Kelly McGillis,1957-07-09
Elizabeth McGovern,1961-07-18
Maureen McGovern,1949-07-27
Rose McGowan,1973-09-05
Melinda McGraw,1963-10-25
Dorothy McGuire,None
Kathryn McGuire,None
Maeve McGuire,1937-07-24
Lonette McKee,1954-07-22
Danica McKellar,1975-01-03
Nancy McKeon,1966-04-04
Nina Mae McKinney,None
Wendi McLendon-Covey,1969-10-10
Katherine McNamara,1995-11-22
Maggie McNamara,None
Kristy McNichol,1962-09-11
Katharine McPhee,1984-03-25
Butterfly McQueen,None
Caroline McWilliams,None
Meredith MacRae,None
Eve McVeagh,None
Emily Meade,1989-01-10
Anne Meara,None
Kay Medford,None
Leighton Meester,1986-04-09
Tamara Mello,1976-02-22
Eva Mendes,1974-03-05
Erica Mendez,None
Bridgit Mendler,1992-12-18
Maria Menounos,1978-06-08
Idina Menzel,1971-05-30
Lee Meriwether,1935-05-27
Una Merkel,None
Ethel Merman,None
Theresa Merritt,None
Debra Messing,1968-08-15
Dina Meyer,1968-12-22
AJ Michalka,1991-04-10
Aly Michalka,1989-03-25
Lea Michele,1986-08-29
Bette Midler,1945-12-01
Alyssa Milano,1972-12-19
Sylvia Miles,None
Vera Miles,1929-08-23
Christina Milian,1981-09-26
Cristin Milioti,1985-08-16
Penelope Milford,1948-03-23
Ivana Miličević,1974-04-26
Ann Miller,None
Christa Miller,1964-05-28
Lara Jill Miller,1967-04-20
Penelope Ann Miller,1964-01-13
Alley Mills,1951-05-09
Donna Mills,1940-12-11
Yvette Mimieux,1942-01-08
Nicki Minaj,1982-12-08
Rachel Miner,1980-07-29
Ming-Na,1963-11-20
Liza Minnelli,1946-03-12
Kelly Jo Minter,1966-09-24
Beverley Mitchell,1981-01-22
Elizabeth Mitchell,1970-03-27
Katy Mixon,1981-03-30
Mary Ann Mobley,None
Katherine Moennig,1977-12-29
Gretchen Mol,1972-11-08
Taylor Momsen,1993-07-26
Michelle Monaghan,1976-03-23
Isabela Moner,2001-07-10
Daniella Monet,1989-03-01
Mo'Nique,1967-12-11
Maika Monroe,1993-05-29
Marilyn Monroe,None
Meredith Monroe,1969-12-30
Elizabeth Montgomery,None
Demi Moore,1962-11-11
Grace Moore,None
Joanna Moore,None
Juanita Moore,None
Julianne Moore,1960-12-03
Kenya Moore,1971-01-24
Mandy Moore,1984-04-10
Mary Tyler Moore,None
Terry Moore,1929-01-07
Agnes Moorehead,None
Natalie Moorhead,None
Dolores Moran,None
Erin Moran,None
Peggy Moran,None
Belita Moreno,1949-11-01
Rita Moreno,1931-12-11
Chloë Grace Moretz,1997-02-10
Cathy Moriarty,1960-11-29
Debbi Morgan,1956-09-20
Haviland Morris,1959-09-14
Kathryn Morris,1969-01-28
Jennifer Morrison,1979-04-12
Shelley Morrison,None
Elisabeth Moss,1982-07-24
Tamera Mowry,1978-07-06
Tia Mowry,1978-07-06
Bridget Moynahan,1971-04-28
Annie Mumolo,1973-07-10
Liliana Mumy,1994-04-16
Diana Muldaur,1938-08-19
Kate Mulgrew,1955-04-29
Megan Mullally,1958-11-12
Olivia Munn,1980-07-03
Brittany Murphy,None
Donna Murphy,1959-03-07
Rosemary Murphy,None
Jillian Murray,1984-06-04
Kathy Najimy,1957-02-06
Nita Naldi,None
Florence Nash,None
Mildred Natwick,None
Elise Neal,1966-03-14
Patricia Neal,None
Noel Neill,None
Brooklyn Nelson,2004-04-13
Kristin Nelson,None
Novella Nelson,None
Tracy Nelson,1963-10-25
Lois Nettleton,None
Bebe Neuwirth,1958-12-31
Julie Newmar,1933-08-16
Kathryn Newton,1997-02-08
Barbara Nichols,None
Nichelle Nichols,1932-12-28
Rachel Nichols,1980-01-08
Julianne Nicholson,1971-07-01
Lorraine Nicholson,1990-04-16
Cynthia Nixon,1966-04-09
Stephanie Niznik,None
Maidie Norman,None
Mabel Normand,None
Sheree North,None
Brandy Norwood,1979-02-11
Kim Novak,1933-02-13
Margaret O'Brien,1937-01-15
Erin O'Brien-Moore,None
Renee O'Connor,1971-02-15
Rosie O'Donnell,1962-03-21
Brittany O'Grady,1996-06-02
Gail O'Grady,1963-01-23
Catherine O'Hara,1954-03-04
Maureen O'Hara,None
Jodi Lyn O'Keefe,1978-10-10
Tricia O'Kelley,1968-09-26
Tatum O'Neal,1963-11-05
Barbara O'Neil,None
Jennifer O'Neill,1948-02-20
Ahna O'Reilly,1984-09-21
Maureen O'Sullivan,None
Annette O'Toole,1952-04-01
Randi Oakes,1951-08-19
Jacqueline Obradors,1966-10-06
Larisa Oleynik,1981-06-07
Susan Oliver,None
Ashley Olsen,1986-06-13
Elizabeth Olsen,1989-02-16
Mary-Kate Olsen,1986-06-13
Susan Olsen,1961-08-14
Nancy Olson,1928-07-14
Olivia Olson,1992-05-21
Renee Olstead,1989-06-18
Lupe Ontiveros,None
Ana Ortiz,1971-01-25
Emily Osment,1992-03-10
Beth Ostrosky,1972-07-15
Cheri Oteri,1962-09-19
Park Overall,1957-03-15
Kelly Overton,1978-08-28
Judy Pace,1942-06-15
Genevieve Padalecki,1981-01-08
Anita Page,None
Geraldine Page,None
Janis Paige,1922-09-16
Brina Palencia,1984-02-13
Adrianne Palicki,1983-05-06
Betsy Palmer,None
Keke Palmer,1993-08-26
Gwyneth Paltrow,1972-09-27
Kay Panabaker,1990-05-02
Danielle Panabaker,1987-09-19
Hayden Panettiere,1989-08-21
Annie Parisse,1975-07-31
Grace Park,1974-03-14
Linda Park,1978-07-09
Eleanor Parker,None
Lara Parker,1938-10-27
Mary-Louise Parker,1964-08-02
Nicole Ari Parker,1970-10-07
Sarah Jessica Parker,1965-03-25
Suzy Parker,None
Lana Parrilla,1977-07-15
Janel Parrish,1988-10-30
Leslie Parrish,1935-03-18
Estelle Parsons,1927-11-20
